字,簡編本首讀音,字型預設,修法
蹌,ㄑㄧㄤ,ㄑㄧㄤˋ,IVS
曲,ㄑㄩ,ㄑㄩˇ,IVS
闕,ㄑㄩㄝˋ,ㄑㄩㄝ,IVS
洒,ㄒㄧˇ,ㄙㄚˇ,IVS
渫,ㄒㄧㄝˋ,ㄉㄧㄝˊ,IVS
削,ㄒㄩㄝˋ,ㄒㄧㄠ,IVS
莘,ㄕㄣ,ㄒㄧㄣ,IVS
相,ㄒㄧㄤ,ㄒㄧㄤˋ,IVS
滎,ㄒㄧㄥˊ,ㄧㄥˊ,IVS
餳,ㄒㄧㄥˊ,ㄊㄤˊ,IVS
畜,ㄔㄨˋ,ㄒㄩˋ,IVS
壎,ㄒㄩㄣ,ㄒㄩㄢ,IVS
著,ㄓㄨˋ,˙ㄓㄜ,IVS
朝,ㄓㄠ,ㄔㄠˊ,IVS
爪,ㄓㄠˇ,ㄓㄨㄚˇ,IVS
占,ㄓㄢ,ㄓㄢˋ,IVS
椹,ㄓㄣ,ㄕㄣˋ,IVS
漲,ㄓㄤˋ,ㄓㄤˇ,IVS
藷,ㄓㄨ,ㄕㄨˇ,IVS
忪,ㄓㄨㄥ,ㄙㄨㄥ,IVS
杈,ㄔㄚ,ㄔㄚˋ,IVS
處,ㄔㄨˋ,ㄔㄨˇ,IVS
什,ㄕˊ,ㄕㄣˊ,IVS
莎,ㄙㄨㄛ,ㄕㄚ,IVS
畬,ㄩˊ,ㄕㄜ,IVS
紝,ㄖㄣˋ,ㄖㄣˊ,IVS
曾,ㄗㄥ,ㄘㄥˊ,IVS
鱒,ㄗㄨㄣ,ㄗㄨㄣˋ,IVS
噌,ㄘㄥ,ㄗㄥ,IVS
撒,ㄙㄚ,ㄙㄚˇ,IVS
塞,ㄙㄜˋ,ㄙㄞ,IVS
臊,ㄙㄠ,ㄙㄠˋ,IVS
阿,ㄜ,ㄚ,IVS
啊,ㄚ,˙ㄚ,IVS
喔,ㄨㄛˋ,ㄛ,IVS
哦,ㄜˊ,ㄛˊ,IVS
欸,ㄞˇ,ㄟˋ,IVS
台,ㄧˊ,ㄊㄞˊ,IVS
乂,ㄧˋ,ㄞˋ,IVS
奄,ㄧㄢˇ,ㄧㄢ,IVS
迕,ㄨˇ,ㄨˋ,IVS
鏞,ㄩㄥ,ㄩㄥˊ,IVS
