詞目,簡編本注音,字型目前顯示,差異(字:字型→簡編本(修法)),修法,備註
領子,ㄌㄧㄥˇ ˙ㄗ,ㄌㄧㄥˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
另眼相看,ㄌㄧㄥˋ ㄧㄢˇ ㄒㄧㄤ ㄎㄢˋ,ㄌㄧㄥˋ ㄧㄢˇ ㄒㄧㄤˋ ㄎㄢˋ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
路子,ㄌㄨˋ ˙ㄗ,ㄌㄨˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
蓼蓼,ㄌㄨˋ ㄌㄨˋ,ㄌㄧㄠˇ ㄌㄧㄠˇ,蓼:ㄌㄧㄠˇ→ㄌㄨˋ(IVS+1); 蓼:ㄌㄧㄠˇ→ㄌㄨˋ(IVS+1),IVS可修,
螺絲起子,ㄌㄨㄛˊ ㄙ ㄑㄧˇ ˙ㄗ,ㄌㄨㄛˊ ㄙ ㄑㄧˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
落魄,ㄌㄨㄛˋ ㄊㄨㄛˋ,ㄌㄨㄛˋ ㄆㄛˋ,魄:ㄆㄛˋ→ㄊㄨㄛˋ(IVS+1),IVS可修,
落難,ㄌㄨㄛˋ ㄋㄢˋ,ㄌㄨㄛˋ ㄋㄢˊ,難:ㄋㄢˊ→ㄋㄢˋ(IVS+1),IVS可修,
漯河,ㄌㄨㄛˋ ㄏㄜˊ,ㄊㄚˋ ㄏㄜˊ,漯:ㄊㄚˋ→ㄌㄨㄛˋ(IVS+1),IVS可修,
亂子,ㄌㄨㄢˋ ˙ㄗ,ㄌㄨㄢˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
淪喪,ㄌㄨㄣˊ ㄙㄤˋ,ㄌㄨㄣˊ ㄙㄤ,喪:ㄙㄤ→ㄙㄤˋ(IVS+1),IVS可修,
