詞目,簡編本注音,字型目前顯示,差異(字:字型→簡編本(修法)),修法,備註
八家將,ㄅㄚ ㄐㄧㄚ ㄐㄧㄤˋ,ㄅㄚ ㄐㄧㄚ ㄐㄧㄤ,將:ㄐㄧㄤ→ㄐㄧㄤˋ(IVS+1),IVS可修,
巴不得,ㄅㄚ ㄅㄨˋ ˙ㄉㄜ,ㄅㄚ ㄅㄨˋ ㄉㄜˊ,得:ㄉㄜˊ→˙ㄉㄜ(IVS+1),IVS可修,
吧檯,ㄅㄚ ㄊㄞˊ,˙ㄅㄚ ㄊㄞˊ,吧:˙ㄅㄚ→ㄅㄚ(IVS+1),IVS可修,
拔刀相助,ㄅㄚˊ ㄉㄠ ㄒㄧㄤ ㄓㄨˋ,ㄅㄚˊ ㄉㄠ ㄒㄧㄤˋ ㄓㄨˋ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
靶子,ㄅㄚˇ ˙ㄗ,ㄅㄚˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
爸爸,ㄅㄚˋ ˙ㄅㄚ,ㄅㄚˋ ㄅㄚˋ,爸:ㄅㄚˋ→˙ㄅㄚ(IVS+1),IVS可修,
般若,ㄅㄛ ㄖㄜˇ,ㄅㄢ ㄖㄨㄛˋ,般:ㄅㄢ→ㄅㄛ(IVS+1); 若:ㄖㄨㄛˋ→ㄖㄜˇ(IVS+1),IVS可修,
剝削,ㄅㄛ ㄒㄩㄝˋ,ㄅㄛ ㄒㄧㄠ,削:ㄒㄧㄠ→ㄒㄩㄝˋ(IVS+1),IVS可修,
伯伯,ㄅㄛˊ ˙ㄅㄛ,ㄅㄛˊ ㄅㄛˊ,伯:ㄅㄛˊ→˙ㄅㄛ(IVS+1),IVS可修,
脖子,ㄅㄛˊ ˙ㄗ,ㄅㄛˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
薄荷,ㄅㄛˋ ㄏㄜˊ,ㄅㄛˊ ㄏㄜˊ,薄:ㄅㄛˊ→ㄅㄛˋ(IVS+1),IVS可修,
薄荷腦,ㄅㄛˋ ㄏㄜˊ ㄋㄠˇ,ㄅㄛˊ ㄏㄜˊ ㄋㄠˇ,薄:ㄅㄛˊ→ㄅㄛˋ(IVS+1),IVS可修,
薄荷油,ㄅㄛˋ ㄏㄜˊ ㄧㄡˊ,ㄅㄛˊ ㄏㄜˊ ㄧㄡˊ,薄:ㄅㄛˊ→ㄅㄛˋ(IVS+1),IVS可修,
簸箕,ㄅㄛˋ ㄐㄧ,ㄅㄛˇ ㄐㄧ,簸:ㄅㄛˇ→ㄅㄛˋ(IVS+1),IVS可修,
百發百中,ㄅㄞˇ ㄈㄚ ㄅㄞˇ ㄓㄨㄥˋ,ㄅㄞˇ ㄈㄚ ㄅㄞˇ ㄓㄨㄥ,中:ㄓㄨㄥ→ㄓㄨㄥˋ(IVS+1),IVS可修,
擺架子,ㄅㄞˇ ㄐㄧㄚˋ ˙ㄗ,ㄅㄞˇ ㄐㄧㄚˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
拜碼頭,ㄅㄞˋ ㄇㄚˇ ˙ㄊㄡ,ㄅㄞˋ ㄇㄚˇ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
敗興,ㄅㄞˋ ㄒㄧㄥˋ,ㄅㄞˋ ㄒㄧㄥ,興:ㄒㄧㄥ→ㄒㄧㄥˋ(IVS+1),IVS可修,
稗子,ㄅㄞˋ ˙ㄗ,ㄅㄞˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
杯盤狼藉,ㄅㄟ ㄆㄢˊ ㄌㄤˊ ㄐㄧˊ,ㄅㄟ ㄆㄢˊ ㄌㄤˊ ㄐㄧㄝˋ,藉:ㄐㄧㄝˋ→ㄐㄧˊ(IVS+1),IVS可修,
杯葛,ㄅㄟ ㄍㄜˊ,ㄅㄟ ㄍㄜˇ,葛:ㄍㄜˇ→ㄍㄜˊ(IVS+1),IVS可修,
杯子,ㄅㄟ ˙ㄗ,ㄅㄟ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
背包,ㄅㄟ ㄅㄠ,ㄅㄟˋ ㄅㄠ,背:ㄅㄟˋ→ㄅㄟ(IVS+1),IVS可修,
背負,ㄅㄟ ㄈㄨˋ,ㄅㄟˋ ㄈㄨˋ,背:ㄅㄟˋ→ㄅㄟ(IVS+1),IVS可修,
背帶,ㄅㄟ ㄉㄞˋ,ㄅㄟˋ ㄉㄞˋ,背:ㄅㄟˋ→ㄅㄟ(IVS+1),IVS可修,
背黑鍋,ㄅㄟ ㄏㄟ ㄍㄨㄛ,ㄅㄟˋ ㄏㄟ ㄍㄨㄛ,背:ㄅㄟˋ→ㄅㄟ(IVS+1),IVS可修,
悲不自勝,ㄅㄟ ㄅㄨˋ ㄗˋ ㄕㄥ,ㄅㄟ ㄅㄨˋ ㄗˋ ㄕㄥˋ,勝:ㄕㄥˋ→ㄕㄥ(IVS+1),IVS可修,
悲切,ㄅㄟ ㄑㄧㄝˋ,ㄅㄟ ㄑㄧㄝ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
倍感親切,ㄅㄟˋ ㄍㄢˇ ㄑㄧㄣ ㄑㄧㄝˋ,ㄅㄟˋ ㄍㄢˇ ㄑㄧㄣ ㄑㄧㄝ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
輩分,ㄅㄟˋ ㄈㄣˋ,ㄅㄟˋ ㄈㄣ,分:ㄈㄣ→ㄈㄣˋ(IVS+1),IVS可修,
包子,ㄅㄠ ˙ㄗ,ㄅㄠ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
保險給付,ㄅㄠˇ ㄒㄧㄢˇ ㄐㄧˇ ㄈㄨˋ,ㄅㄠˇ ㄒㄧㄢˇ ㄍㄟˇ ㄈㄨˋ,給:ㄍㄟˇ→ㄐㄧˇ(IVS+1),IVS可修,
寶藏,ㄅㄠˇ ㄗㄤˋ,ㄅㄠˇ ㄘㄤˊ,藏:ㄘㄤˊ→ㄗㄤˋ(IVS+1),IVS可修,
報關行,ㄅㄠˋ ㄍㄨㄢ ㄏㄤˊ,ㄅㄠˋ ㄍㄨㄢ ㄒㄧㄥˊ,行:ㄒㄧㄥˊ→ㄏㄤˊ(IVS+1),IVS可修,
報應,ㄅㄠˋ ㄧㄥˋ,ㄅㄠˋ ㄧㄥ,應:ㄧㄥ→ㄧㄥˋ(IVS+1),IVS可修,
暴虎馮河,ㄅㄠˋ ㄏㄨˇ ㄆㄧㄥˊ ㄏㄜˊ,ㄅㄠˋ ㄏㄨˇ ㄈㄥˊ ㄏㄜˊ,馮:ㄈㄥˊ→ㄆㄧㄥˊ(IVS+1),IVS可修,
扳倒,ㄅㄢ ㄉㄠˇ,ㄅㄢ ㄉㄠˋ,倒:ㄉㄠˋ→ㄉㄠˇ(IVS+1),IVS可修,
班長,ㄅㄢ ㄓㄤˇ,ㄅㄢ ㄔㄤˊ,長:ㄔㄤˊ→ㄓㄤˇ(IVS+1),IVS可修,
班子,ㄅㄢ ˙ㄗ,ㄅㄢ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
半吊子,ㄅㄢˋ ㄉㄧㄠˋ ˙ㄗ,ㄅㄢˋ ㄉㄧㄠˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
半夜三更,ㄅㄢˋ ㄧㄝˋ ㄙㄢ ㄍㄥ,ㄅㄢˋ ㄧㄝˋ ㄙㄢ ㄍㄥˋ,更:ㄍㄥˋ→ㄍㄥ(IVS+1),IVS可修,
絆倒,ㄅㄢˋ ㄉㄠˇ,ㄅㄢˋ ㄉㄠˋ,倒:ㄉㄠˋ→ㄉㄠˇ(IVS+1),IVS可修,
辦公處,ㄅㄢˋ ㄍㄨㄥ ㄔㄨˋ,ㄅㄢˋ ㄍㄨㄥ ㄔㄨˇ,處:ㄔㄨˇ→ㄔㄨˋ(IVS+1),IVS可修,
辦事處,ㄅㄢˋ ㄕˋ ㄔㄨˋ,ㄅㄢˋ ㄕˋ ㄔㄨˇ,處:ㄔㄨˇ→ㄔㄨˋ(IVS+1),IVS可修,
本分,ㄅㄣˇ ㄈㄣˋ,ㄅㄣˇ ㄈㄣ,分:ㄈㄣ→ㄈㄣˋ(IVS+1),IVS可修,
本行,ㄅㄣˇ ㄏㄤˊ,ㄅㄣˇ ㄒㄧㄥˊ,行:ㄒㄧㄥˊ→ㄏㄤˊ(IVS+1),IVS可修,
棒喝,ㄅㄤˋ ㄏㄜˋ,ㄅㄤˋ ㄏㄜ,喝:ㄏㄜ→ㄏㄜˋ(IVS+1),IVS可修,
棒子,ㄅㄤˋ ˙ㄗ,ㄅㄤˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
繃子,ㄅㄥ ˙ㄗ,ㄅㄥ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
荸薺,ㄅㄧˊ ㄑㄧˊ,ㄅㄧˊ ㄐㄧˋ,薺:ㄐㄧˋ→ㄑㄧˊ(IVS+1),IVS可修,
鼻子,ㄅㄧˊ ˙ㄗ,ㄅㄧˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
彼長我消,ㄅㄧˇ ㄓㄤˇ ㄨㄛˇ ㄒㄧㄠ,ㄅㄧˇ ㄔㄤˊ ㄨㄛˇ ㄒㄧㄠ,長:ㄔㄤˊ→ㄓㄤˇ(IVS+1),IVS可修,
筆調,ㄅㄧˇ ㄉㄧㄠˋ,ㄅㄧˇ ㄊㄧㄠˊ,調:ㄊㄧㄠˊ→ㄉㄧㄠˋ(IVS+1),IVS可修,
比比皆是,ㄅㄧˋ ㄅㄧˋ ㄐㄧㄝ ㄕˋ,ㄅㄧˇ ㄅㄧˇ ㄐㄧㄝ ㄕˋ,比:ㄅㄧˇ→ㄅㄧˋ(IVS+1); 比:ㄅㄧˇ→ㄅㄧˋ(IVS+1),IVS可修,
比鄰,ㄅㄧˋ ㄌㄧㄣˊ,ㄅㄧˇ ㄌㄧㄣˊ,比:ㄅㄧˇ→ㄅㄧˋ(IVS+1),IVS可修,
比鄰而居,ㄅㄧˋ ㄌㄧㄣˊ ㄦˊ ㄐㄩ,ㄅㄧˇ ㄌㄧㄣˊ ㄦˊ ㄐㄩ,比:ㄅㄧˇ→ㄅㄧˋ(IVS+1),IVS可修,
比肩,ㄅㄧˋ ㄐㄧㄢ,ㄅㄧˇ ㄐㄧㄢ,比:ㄅㄧˇ→ㄅㄧˋ(IVS+1),IVS可修,
蔽塞,ㄅㄧˋ ㄙㄜˋ,ㄅㄧˋ ㄙㄞ,塞:ㄙㄞ→ㄙㄜˋ(IVS+1),IVS可修,
閉塞,ㄅㄧˋ ㄙㄜˋ,ㄅㄧˋ ㄙㄞ,塞:ㄙㄞ→ㄙㄜˋ(IVS+1),IVS可修,
避難,ㄅㄧˋ ㄋㄢˋ,ㄅㄧˋ ㄋㄢˊ,難:ㄋㄢˊ→ㄋㄢˋ(IVS+1),IVS可修,
璧還,ㄅㄧˋ ㄏㄨㄢˊ,ㄅㄧˋ ㄏㄞˊ,還:ㄏㄞˊ→ㄏㄨㄢˊ(IVS+1),IVS可修,
別苗頭,ㄅㄧㄝˊ ㄇㄧㄠˊ ˙ㄊㄡ,ㄅㄧㄝˊ ㄇㄧㄠˊ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
標的,ㄅㄧㄠ ㄉㄧˋ,ㄅㄧㄠ ˙ㄉㄜ,的:˙ㄉㄜ→ㄉㄧˋ(IVS+2),IVS可修,
表率,ㄅㄧㄠˇ ㄕㄨㄞˋ,ㄅㄧㄠˇ ㄌㄩˋ,率:ㄌㄩˋ→ㄕㄨㄞˋ(IVS+1),IVS可修,
編著,ㄅㄧㄢ ㄓㄨˋ,ㄅㄧㄢ ˙ㄓㄜ,著:˙ㄓㄜ→ㄓㄨˋ(IVS+1),IVS可修,
扁鑽,ㄅㄧㄢˇ ㄗㄨㄢˋ,ㄅㄧㄢˇ ㄗㄨㄢ,鑽:ㄗㄨㄢ→ㄗㄨㄢˋ(IVS+1),IVS可修,
便溺,ㄅㄧㄢˋ ㄋㄧㄠˋ,ㄅㄧㄢˋ ㄋㄧˋ,溺:ㄋㄧˋ→ㄋㄧㄠˋ(字型無此讀音),字型缺讀音,
辮子,ㄅㄧㄢˋ ˙ㄗ,ㄅㄧㄢˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
變更,ㄅㄧㄢˋ ㄍㄥ,ㄅㄧㄢˋ ㄍㄥˋ,更:ㄍㄥˋ→ㄍㄥ(IVS+1),IVS可修,
并州,ㄅㄧㄥ ㄓㄡ,ㄅㄧㄥˋ ㄓㄡ,并:ㄅㄧㄥˋ→ㄅㄧㄥ(IVS+1),IVS可修,
屏營,ㄅㄧㄥ ㄧㄥˊ,ㄆㄧㄥˊ ㄧㄥˊ,屏:ㄆㄧㄥˊ→ㄅㄧㄥ(字型無此讀音),字型缺讀音,
屏氣凝神,ㄅㄧㄥˇ ㄑㄧˋ ㄋㄧㄥˊ ㄕㄣˊ,ㄆㄧㄥˊ ㄑㄧˋ ㄋㄧㄥˊ ㄕㄣˊ,屏:ㄆㄧㄥˊ→ㄅㄧㄥˇ(IVS+1),IVS可修,
屏息,ㄅㄧㄥˇ ㄒㄧˊ,ㄆㄧㄥˊ ㄒㄧˊ,屏:ㄆㄧㄥˊ→ㄅㄧㄥˇ(IVS+1),IVS可修,
並無不當,ㄅㄧㄥˋ ㄨˊ ㄅㄨˋ ㄉㄤˋ,ㄅㄧㄥˋ ㄨˊ ㄅㄨˋ ㄉㄤ,當:ㄉㄤ→ㄉㄤˋ(IVS+1),IVS可修,
病假,ㄅㄧㄥˋ ㄐㄧㄚˋ,ㄅㄧㄥˋ ㄐㄧㄚˇ,假:ㄐㄧㄚˇ→ㄐㄧㄚˋ(IVS+1),IVS可修,
補給,ㄅㄨˇ ㄐㄧˇ,ㄅㄨˇ ㄍㄟˇ,給:ㄍㄟˇ→ㄐㄧˇ(IVS+1),IVS可修,
補給線,ㄅㄨˇ ㄐㄧˇ ㄒㄧㄢˋ,ㄅㄨˇ ㄍㄟˇ ㄒㄧㄢˋ,給:ㄍㄟˇ→ㄐㄧˇ(IVS+1),IVS可修,
補假,ㄅㄨˇ ㄐㄧㄚˋ,ㄅㄨˇ ㄐㄧㄚˇ,假:ㄐㄧㄚˇ→ㄐㄧㄚˋ(IVS+1),IVS可修,
不搭調,ㄅㄨˋ ㄉㄚ ㄉㄧㄠˋ,ㄅㄨˋ ㄉㄚ ㄊㄧㄠˊ,調:ㄊㄧㄠˊ→ㄉㄧㄠˋ(IVS+1),IVS可修,
不得了,ㄅㄨˋ ㄉㄜˊ ㄌㄧㄠˇ,ㄅㄨˋ ㄉㄜˊ ˙ㄌㄜ,了:˙ㄌㄜ→ㄌㄧㄠˇ(IVS+1),IVS可修,
不倒翁,ㄅㄨˋ ㄉㄠˇ ㄨㄥ,ㄅㄨˋ ㄉㄠˋ ㄨㄥ,倒:ㄉㄠˋ→ㄉㄠˇ(IVS+1),IVS可修,
不當,ㄅㄨˋ ㄉㄤˋ,ㄅㄨˋ ㄉㄤ,當:ㄉㄤ→ㄉㄤˋ(IVS+1),IVS可修,
不了了之,ㄅㄨˋ ㄌㄧㄠˇ ㄌㄧㄠˇ ㄓ,ㄅㄨˋ ˙ㄌㄜ ˙ㄌㄜ ㄓ,了:˙ㄌㄜ→ㄌㄧㄠˇ(IVS+1); 了:˙ㄌㄜ→ㄌㄧㄠˇ(IVS+1),IVS可修,
不了解,ㄅㄨˋ ㄌㄧㄠˇ ㄐㄧㄝˇ,ㄅㄨˋ ˙ㄌㄜ ㄐㄧㄝˇ,了:˙ㄌㄜ→ㄌㄧㄠˇ(IVS+1),IVS可修,
不良分子,ㄅㄨˋ ㄌㄧㄤˊ ㄈㄣˋ ㄗˇ,ㄅㄨˋ ㄌㄧㄤˊ ㄈㄣ ㄗˇ,分:ㄈㄣ→ㄈㄣˋ(IVS+1),IVS可修,
不良少年,ㄅㄨˋ ㄌㄧㄤˊ ㄕㄠˋ ㄋㄧㄢˊ,ㄅㄨˋ ㄌㄧㄤˊ ㄕㄠˇ ㄋㄧㄢˊ,少:ㄕㄠˇ→ㄕㄠˋ(IVS+1),IVS可修,
不顧一切,ㄅㄨˋ ㄍㄨˋ ㄧ ㄑㄧㄝˋ,ㄅㄨˋ ㄍㄨˋ ㄧ ㄑㄧㄝ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
不堪負荷,ㄅㄨˋ ㄎㄢ ㄈㄨˋ ㄏㄜˋ,ㄅㄨˋ ㄎㄢ ㄈㄨˋ ㄏㄜˊ,荷:ㄏㄜˊ→ㄏㄜˋ(IVS+1),IVS可修,
不好意思,ㄅㄨˋ ㄏㄠˇ ㄧˋ ˙ㄙ,ㄅㄨˋ ㄏㄠˇ ㄧˋ ㄙ,思:ㄙ→˙ㄙ(IVS+2),IVS可修,
不假外出,ㄅㄨˋ ㄐㄧㄚˋ ㄨㄞˋ ㄔㄨ,ㄅㄨˋ ㄐㄧㄚˇ ㄨㄞˋ ㄔㄨ,假:ㄐㄧㄚˇ→ㄐㄧㄚˋ(IVS+1),IVS可修,
不見得,ㄅㄨˋ ㄐㄧㄢˋ ˙ㄉㄜ,ㄅㄨˋ ㄐㄧㄢˋ ㄉㄜˊ,得:ㄉㄜˊ→˙ㄉㄜ(IVS+1),IVS可修,
不見經傳,ㄅㄨˋ ㄐㄧㄢˋ ㄐㄧㄥ ㄓㄨㄢˋ,ㄅㄨˋ ㄐㄧㄢˋ ㄐㄧㄥ ㄔㄨㄢˊ,傳:ㄔㄨㄢˊ→ㄓㄨㄢˋ(IVS+1),IVS可修,
不禁,ㄅㄨˋ ㄐㄧㄣ,ㄅㄨˋ ㄐㄧㄣˋ,禁:ㄐㄧㄣˋ→ㄐㄧㄣ(IVS+1),IVS可修,
不經一事不長一智,ㄅㄨˋ ㄐㄧㄥ ㄧ ㄕˋ ㄅㄨˋ ㄓㄤˇ ㄧ ㄓˋ,ㄅㄨˋ ㄐㄧㄥ ㄧ ㄕˋ ㄅㄨˋ ㄔㄤˊ ㄧ ㄓˋ,長:ㄔㄤˊ→ㄓㄤˇ(IVS+1),IVS可修,
不切實際,ㄅㄨˋ ㄑㄧㄝˋ ㄕˊ ㄐㄧˋ,ㄅㄨˋ ㄑㄧㄝ ㄕˊ ㄐㄧˋ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
不相干,ㄅㄨˋ ㄒㄧㄤ ㄍㄢ,ㄅㄨˋ ㄒㄧㄤˋ ㄍㄢ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
不相上下,ㄅㄨˋ ㄒㄧㄤ ㄕㄤˋ ㄒㄧㄚˋ,ㄅㄨˋ ㄒㄧㄤˋ ㄕㄤˋ ㄒㄧㄚˋ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
不省人事,ㄅㄨˋ ㄒㄧㄥˇ ㄖㄣˊ ㄕˋ,ㄅㄨˋ ㄕㄥˇ ㄖㄣˊ ㄕˋ,省:ㄕㄥˇ→ㄒㄧㄥˇ(IVS+1),IVS可修,
不支倒地,ㄅㄨˋ ㄓ ㄉㄠˇ ㄉㄧˋ,ㄅㄨˋ ㄓ ㄉㄠˋ ㄉㄧˋ,倒:ㄉㄠˋ→ㄉㄠˇ(IVS+1),IVS可修,
不值得,ㄅㄨˋ ㄓˊ ˙ㄉㄜ,ㄅㄨˋ ㄓˊ ㄉㄜˊ,得:ㄉㄜˊ→˙ㄉㄜ(IVS+1),IVS可修,
不著邊際,ㄅㄨˋ ㄓㄨㄛˊ ㄅㄧㄢ ㄐㄧˋ,ㄅㄨˋ ˙ㄓㄜ ㄅㄧㄢ ㄐㄧˋ,著:˙ㄓㄜ→ㄓㄨㄛˊ(IVS+4),IVS可修,
不著痕跡,ㄅㄨˋ ㄓㄨㄛˊ ㄏㄣˊ ㄐㄧ,ㄅㄨˋ ˙ㄓㄜ ㄏㄣˊ ㄐㄧ,著:˙ㄓㄜ→ㄓㄨㄛˊ(IVS+4),IVS可修,
不中用,ㄅㄨˋ ㄓㄨㄥˋ ㄩㄥˋ,ㄅㄨˋ ㄓㄨㄥ ㄩㄥˋ,中:ㄓㄨㄥ→ㄓㄨㄥˋ(IVS+1),IVS可修,
不中聽,ㄅㄨˋ ㄓㄨㄥˋ ㄊㄧㄥ,ㄅㄨˋ ㄓㄨㄥ ㄊㄧㄥ,中:ㄓㄨㄥ→ㄓㄨㄥˋ(IVS+1),IVS可修,
不稱心,ㄅㄨˋ ㄔㄥˋ ㄒㄧㄣ,ㄅㄨˋ ㄔㄥ ㄒㄧㄣ,稱:ㄔㄥ→ㄔㄥˋ(IVS+1),IVS可修,
不勝枚舉,ㄅㄨˋ ㄕㄥ ㄇㄟˊ ㄐㄩˇ,ㄅㄨˋ ㄕㄥˋ ㄇㄟˊ ㄐㄩˇ,勝:ㄕㄥˋ→ㄕㄥ(IVS+1),IVS可修,
不勝酒力,ㄅㄨˋ ㄕㄥ ㄐㄧㄡˇ ㄌㄧˋ,ㄅㄨˋ ㄕㄥˋ ㄐㄧㄡˇ ㄌㄧˋ,勝:ㄕㄥˋ→ㄕㄥ(IVS+1),IVS可修,
不勝其煩,ㄅㄨˋ ㄕㄥ ㄑㄧˊ ㄈㄢˊ,ㄅㄨˋ ㄕㄥˋ ㄑㄧˊ ㄈㄢˊ,勝:ㄕㄥˋ→ㄕㄥ(IVS+1),IVS可修,
不勝其擾,ㄅㄨˋ ㄕㄥ ㄑㄧˊ ㄖㄠˇ,ㄅㄨˋ ㄕㄥˋ ㄑㄧˊ ㄖㄠˇ,勝:ㄕㄥˋ→ㄕㄥ(IVS+1),IVS可修,
不勝唏噓,ㄅㄨˋ ㄕㄥ ㄒㄧ ㄒㄩ,ㄅㄨˋ ㄕㄥˋ ㄒㄧ ㄒㄩ,勝:ㄕㄥˋ→ㄕㄥ(IVS+1),IVS可修,
不安分,ㄅㄨˋ ㄢ ㄈㄣˋ,ㄅㄨˋ ㄢ ㄈㄣ,分:ㄈㄣ→ㄈㄣˋ(IVS+1),IVS可修,
不由得,ㄅㄨˋ ㄧㄡˊ ˙ㄉㄜ,ㄅㄨˋ ㄧㄡˊ ㄉㄜˊ,得:ㄉㄜˊ→˙ㄉㄜ(IVS+1),IVS可修,
布匹,ㄅㄨˋ ㄆㄧˇ,ㄅㄨˋ ㄆㄧ,匹:ㄆㄧ→ㄆㄧˇ(IVS+1),IVS可修,
布疋,ㄅㄨˋ ㄆㄧˇ,ㄅㄨˋ ㄕㄨ,疋:ㄕㄨ→ㄆㄧˇ(字型無此讀音),字型缺讀音,
步調,ㄅㄨˋ ㄉㄧㄠˋ,ㄅㄨˋ ㄊㄧㄠˊ,調:ㄊㄧㄠˊ→ㄉㄧㄠˋ(IVS+1),IVS可修,
部分,ㄅㄨˋ ㄈㄣˋ,ㄅㄨˋ ㄈㄣ,分:ㄈㄣ→ㄈㄣˋ(IVS+1),IVS可修,
部會首長,ㄅㄨˋ ㄏㄨㄟˋ ㄕㄡˇ ㄓㄤˇ,ㄅㄨˋ ㄏㄨㄟˋ ㄕㄡˇ ㄔㄤˊ,長:ㄔㄤˊ→ㄓㄤˇ(IVS+1),IVS可修,
部曲,ㄅㄨˋ ㄑㄩ,ㄅㄨˋ ㄑㄩˇ,曲:ㄑㄩˇ→ㄑㄩ(IVS+1),IVS可修,
部長,ㄅㄨˋ ㄓㄤˇ,ㄅㄨˋ ㄔㄤˊ,長:ㄔㄤˊ→ㄓㄤˇ(IVS+1),IVS可修,
部署,ㄅㄨˋ ㄕㄨˋ,ㄅㄨˋ ㄕㄨˇ,署:ㄕㄨˇ→ㄕㄨˋ(IVS+1),IVS可修,
簿子,ㄅㄨˋ ˙ㄗ,ㄅㄨˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
啪啦,ㄆㄚ ㄌㄚ,ㄆㄚ ˙ㄌㄚ,啦:˙ㄌㄚ→ㄌㄚ(IVS+1),IVS可修,
爬格子,ㄆㄚˊ ㄍㄜˊ ˙ㄗ,ㄆㄚˊ ㄍㄜˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
婆婆,ㄆㄛˊ ˙ㄆㄛ,ㄆㄛˊ ㄆㄛˊ,婆:ㄆㄛˊ→˙ㄆㄛ(IVS+1),IVS可修,
迫切,ㄆㄛˋ ㄑㄧㄝˋ,ㄆㄛˋ ㄑㄧㄝ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
破鏡重圓,ㄆㄛˋ ㄐㄧㄥˋ ㄔㄨㄥˊ ㄩㄢˊ,ㄆㄛˋ ㄐㄧㄥˋ ㄓㄨㄥˋ ㄩㄢˊ,重:ㄓㄨㄥˋ→ㄔㄨㄥˊ(IVS+1),IVS可修,
破嗓子,ㄆㄛˋ ㄙㄤˇ ˙ㄗ,ㄆㄛˋ ㄙㄤˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
拍子,ㄆㄞ ˙ㄗ,ㄆㄞ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
排比,ㄆㄞˊ ㄅㄧˋ,ㄆㄞˊ ㄅㄧˇ,比:ㄅㄧˇ→ㄅㄧˋ(IVS+1),IVS可修,
排難解紛,ㄆㄞˊ ㄋㄢˋ ㄐㄧㄝˇ ㄈㄣ,ㄆㄞˊ ㄋㄢˊ ㄐㄧㄝˇ ㄈㄣ,難:ㄋㄢˊ→ㄋㄢˋ(IVS+1),IVS可修,
排行,ㄆㄞˊ ㄏㄤˊ,ㄆㄞˊ ㄒㄧㄥˊ,行:ㄒㄧㄥˊ→ㄏㄤˊ(IVS+1),IVS可修,
排行榜,ㄆㄞˊ ㄏㄤˊ ㄅㄤˇ,ㄆㄞˊ ㄒㄧㄥˊ ㄅㄤˇ,行:ㄒㄧㄥˊ→ㄏㄤˊ(IVS+1),IVS可修,
排山倒海,ㄆㄞˊ ㄕㄢ ㄉㄠˇ ㄏㄞˇ,ㄆㄞˊ ㄕㄢ ㄉㄠˋ ㄏㄞˇ,倒:ㄉㄠˋ→ㄉㄠˇ(IVS+1),IVS可修,
徘徊,ㄆㄞˊ ㄏㄨㄞˊ,ㄆㄞˊ ㄏㄨㄟˊ,徊:ㄏㄨㄟˊ→ㄏㄨㄞˊ(IVS+1),IVS可修,
牌子,ㄆㄞˊ ˙ㄗ,ㄆㄞˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
胚子,ㄆㄟ ˙ㄗ,ㄆㄟ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
陪都,ㄆㄟˊ ㄉㄨ,ㄆㄟˊ ㄉㄡ,都:ㄉㄡ→ㄉㄨ(IVS+1),IVS可修,
配給,ㄆㄟˋ ㄐㄧˇ,ㄆㄟˋ ㄍㄟˇ,給:ㄍㄟˇ→ㄐㄧˇ(IVS+1),IVS可修,
配角,ㄆㄟˋ ㄐㄩㄝˊ,ㄆㄟˋ ㄐㄧㄠˇ,角:ㄐㄧㄠˇ→ㄐㄩㄝˊ(IVS+1),IVS可修,
