詞目,簡編本注音一式,字型目前顯示,插碼後字串,碼點,哪個字用第幾讀音,備註
哩哩囉囉,ㄌㄧ ㄌㄧ ㄌㄨㄛ ㄌㄨㄛ,ㄌㄧˇ ㄌㄧˇ ㄌㄨㄛ ㄌㄨㄛ,哩󠇢哩󠇢囉囉,U+54E9 U+E01E2 U+54E9 U+E01E2 U+56C9 U+56C9,哩:IVS+2; 哩:IVS+2,
哩嚕,ㄌㄧ ㄌㄨ,ㄌㄧˇ ㄌㄨ,哩󠇢嚕,U+54E9 U+E01E2 U+5695,哩:IVS+2,
梨子,ㄌㄧˊ ˙ㄗ,ㄌㄧˊ ㄗˇ,梨子󠇡,U+68A8 U+5B50 U+E01E1,子:IVS+1,
離間,ㄌㄧˊ ㄐㄧㄢˋ,ㄌㄧˊ ㄐㄧㄢ,離間󠇡,U+96E2 U+9593 U+E01E1,間:IVS+1,
罹難,ㄌㄧˊ ㄋㄢˋ,ㄌㄧˊ ㄋㄢˊ,罹難󠇡,U+7F79 U+96E3 U+E01E1,難:IVS+1,
李子,ㄌㄧˇ ˙ㄗ,ㄌㄧˇ ㄗˇ,李子󠇡,U+674E U+5B50 U+E01E1,子:IVS+1,
里長,ㄌㄧˇ ㄓㄤˇ,ㄌㄧˇ ㄔㄤˊ,里長󠇡,U+91CC U+9577 U+E01E1,長:IVS+1,
理事長,ㄌㄧˇ ㄕˋ ㄓㄤˇ,ㄌㄧˇ ㄕˋ ㄔㄤˊ,理事長󠇡,U+7406 U+4E8B U+9577 U+E01E1,長:IVS+1,
裡頭,ㄌㄧˇ ˙ㄊㄡ,ㄌㄧˇ ㄊㄡˊ,裡頭󠇡,U+88E1 U+982D U+E01E1,頭:IVS+1,
裡子,ㄌㄧˇ ˙ㄗ,ㄌㄧˇ ㄗˇ,裡子󠇡,U+88E1 U+5B50 U+E01E1,子:IVS+1,
裡應外合,ㄌㄧˇ ㄧㄥˋ ㄨㄞˋ ㄏㄜˊ,ㄌㄧˇ ㄧㄥ ㄨㄞˋ ㄏㄜˊ,裡應󠇡外合,U+88E1 U+61C9 U+E01E1 U+5916 U+5408,應:IVS+1,
禮樂,ㄌㄧˇ ㄩㄝˋ,ㄌㄧˇ ㄌㄜˋ,禮樂󠇡,U+79AE U+6A02 U+E01E1,樂:IVS+1,
力有未逮,ㄌㄧˋ ㄧㄡˇ ㄨㄟˋ ㄉㄞˋ,ㄌㄧˋ ㄧㄡˇ ㄨㄟˋ ㄉㄞˇ,力有未逮󠇡,U+529B U+6709 U+672A U+902E U+E01E1,逮:IVS+1,
例假,ㄌㄧˋ ㄐㄧㄚˋ,ㄌㄧˋ ㄐㄧㄚˇ,例假󠇡,U+4F8B U+5047 U+E01E1,假:IVS+1,
例假日,ㄌㄧˋ ㄐㄧㄚˋ ㄖˋ,ㄌㄧˋ ㄐㄧㄚˇ ㄖˋ,例假󠇡日,U+4F8B U+5047 U+E01E1 U+65E5,假:IVS+1,
例子,ㄌㄧˋ ˙ㄗ,ㄌㄧˋ ㄗˇ,例子󠇡,U+4F8B U+5B50 U+E01E1,子:IVS+1,
栗子,ㄌㄧˋ ˙ㄗ,ㄌㄧˋ ㄗˇ,栗子󠇡,U+6817 U+5B50 U+E01E1,子:IVS+1,
麗都,ㄌㄧˋ ㄉㄨ,ㄌㄧˋ ㄉㄡ,麗都󠇡,U+9E97 U+90FD U+E01E1,都:IVS+1,
列傳,ㄌㄧㄝˋ ㄓㄨㄢˋ,ㄌㄧㄝˋ ㄔㄨㄢˊ,列傳󠇡,U+5217 U+50B3 U+E01E1,傳:IVS+1,
裂縫,ㄌㄧㄝˋ ㄈㄥˋ,ㄌㄧㄝˋ ㄈㄥˊ,裂縫󠇡,U+88C2 U+7E2B U+E01E1,縫:IVS+1,
邋邋,ㄌㄧㄝˋ ㄌㄧㄝˋ,ㄌㄚˊ ㄌㄚˊ,邋󠇡邋󠇡,U+908B U+E01E1 U+908B U+E01E1,邋:IVS+1; 邋:IVS+1,
寥寥可數,ㄌㄧㄠˊ ㄌㄧㄠˊ ㄎㄜˇ ㄕㄨˇ,ㄌㄧㄠˊ ㄌㄧㄠˊ ㄎㄜˇ ㄕㄨˋ,寥寥可數󠇡,U+5BE5 U+5BE5 U+53EF U+6578 U+E01E1,數:IVS+1,
潦倒,ㄌㄧㄠˊ ㄉㄠˇ,ㄌㄧㄠˊ ㄉㄠˋ,潦倒󠇡,U+6F66 U+5012 U+E01E1,倒:IVS+1,
了不得,ㄌㄧㄠˇ ㄅㄨˋ ˙ㄉㄜ,˙ㄌㄜ ㄅㄨˋ ㄉㄜˊ,了󠇡不得󠇡,U+4E86 U+E01E1 U+4E0D U+5F97 U+E01E1,了:IVS+1; 得:IVS+1,
了不起,ㄌㄧㄠˇ ㄅㄨˋ ㄑㄧˇ,˙ㄌㄜ ㄅㄨˋ ㄑㄧˇ,了󠇡不起,U+4E86 U+E01E1 U+4E0D U+8D77,了:IVS+1,
了得,ㄌㄧㄠˇ ˙ㄉㄜ,˙ㄌㄜ ㄉㄜˊ,了󠇡得󠇡,U+4E86 U+E01E1 U+5F97 U+E01E1,了:IVS+1; 得:IVS+1,
了當,ㄌㄧㄠˇ ㄉㄤˋ,˙ㄌㄜ ㄉㄤ,了󠇡當󠇡,U+4E86 U+E01E1 U+7576 U+E01E1,了:IVS+1; 當:IVS+1,
了斷,ㄌㄧㄠˇ ㄉㄨㄢˋ,˙ㄌㄜ ㄉㄨㄢˋ,了󠇡斷,U+4E86 U+E01E1 U+65B7,了:IVS+1,
了了,ㄌㄧㄠˇ ㄌㄧㄠˇ,˙ㄌㄜ ˙ㄌㄜ,了󠇡了󠇡,U+4E86 U+E01E1 U+4E86 U+E01E1,了:IVS+1; 了:IVS+1,
了結,ㄌㄧㄠˇ ㄐㄧㄝˊ,˙ㄌㄜ ㄐㄧㄝˊ,了󠇡結,U+4E86 U+E01E1 U+7D50,了:IVS+1,
了解,ㄌㄧㄠˇ ㄐㄧㄝˇ,˙ㄌㄜ ㄐㄧㄝˇ,了󠇡解,U+4E86 U+E01E1 U+89E3,了:IVS+1,
了卻,ㄌㄧㄠˇ ㄑㄩㄝˋ,˙ㄌㄜ ㄑㄩㄝˋ,了󠇡卻,U+4E86 U+E01E1 U+537B,了:IVS+1,
了事,ㄌㄧㄠˇ ㄕˋ,˙ㄌㄜ ㄕˋ,了󠇡事,U+4E86 U+E01E1 U+4E8B,了:IVS+1,
了然,ㄌㄧㄠˇ ㄖㄢˊ,˙ㄌㄜ ㄖㄢˊ,了󠇡然,U+4E86 U+E01E1 U+7136,了:IVS+1,
了案,ㄌㄧㄠˇ ㄢˋ,˙ㄌㄜ ㄢˋ,了󠇡案,U+4E86 U+E01E1 U+6848,了:IVS+1,
了無新意,ㄌㄧㄠˇ ㄨˊ ㄒㄧㄣ ㄧˋ,˙ㄌㄜ ㄨˊ ㄒㄧㄣ ㄧˋ,了󠇡無新意,U+4E86 U+E01E1 U+7121 U+65B0 U+610F,了:IVS+1,
了無生趣,ㄌㄧㄠˇ ㄨˊ ㄕㄥ ㄑㄩˋ,˙ㄌㄜ ㄨˊ ㄕㄥ ㄑㄩˋ,了󠇡無生趣,U+4E86 U+E01E1 U+7121 U+751F U+8DA3,了:IVS+1,
了悟,ㄌㄧㄠˇ ㄨˋ,˙ㄌㄜ ㄨˋ,了󠇡悟,U+4E86 U+E01E1 U+609F,了:IVS+1,
料中,ㄌㄧㄠˋ ㄓㄨㄥˋ,ㄌㄧㄠˋ ㄓㄨㄥ,料中󠇡,U+6599 U+4E2D U+E01E1,中:IVS+1,
